Subsystem,Component,Sub-Component,Potential Failure Mode,Potential Effect(s) of Failure,Severity,Potential Cause(s) of Failure,Occurrence,Current Controls,Detection,RPN,Recommended Action
Power Unit,Fuel System,Fuel Tank,Cracked or leaking,"Fuel loss, fire",4,General wear and tear,1,Daily visual inspection,2,8,Drain and flush fuel tank during 1000 hour service.
Power Unit,Fuel System,Fuel Tank,Cracked or leaking,"Fuel loss, fire",4,Physical impact to tank,1,Daily visual inspection,2,8,
Power Unit,Fuel System,Fuel Cooler,Leaking,"Loss of power, engine overheating",4,"Damaged fan parts, blocked fins",2,No current controls,2,16,Inspect cooler and clean fins on 500 hour service
Power Unit,Fuel System,Fuel Cooler,Dirt build-up,Loss of power,3,"Contaminated fuel, extended period of operation without cleaning",2,No current controls,3,18,Inspect cooler and clean fins on 500 hour service
Power Unit,Fuel System,Fuel Cooler,Wearing,"Loss of power, engine overheating",3,Fins may crack or break off,2,No current controls,2,12,Inspect cooler and clean fins on 500 hour service
Power Unit,Fuel System,Fuel Cooler,Mechanical  failure,Fuel overheating,3,Fuel cooler thermostat worn out,2,No current controls,3,18,Inspect cooler and clean fins on 500 hour service Check thermostat function at 1000 hour service.
Power Unit,Fuel System,Fuel Filter,Leaking,"Loss of power, fire",4,Damage to filter/filter head,1,Daily visual inspection. Scheduled change out on 250 hour service,2,8,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
Power Unit,Fuel System,Fuel Filter,Physical damage,"Fuel leak, fire",4,Physical impact,1,Daily visual inspection. Scheduled change out on 250 hour service,2,8,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
Power Unit,Fuel System,Fuel Filter,Blocked,"Loss of power, engine wont start",4,"Contaminated fuel, incorrect installation",2,Daily visual inspection. Scheduled change out on 250 hour service,2,16,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
Power Unit,Fuel System,Fuel Lines/Rail,Leaking,"Loss of power, fire",4,"Broken seal, or seal vibrated loose",1,Daily visual inspection. Scheduled inspection on 500 hour service,2,8,
Power Unit,Fuel System,Fuel Lines/Rail,Physical damage,"Loss of power, fire",3,Physical impact,1,Daily visual inspection. Scheduled inspection on 500 hour service,2,6,
Power Unit,Fuel System,Injectors,Mechanical  failure,"Loss of power, misfiring",3,General wear and tear,2,Changed out with schedule engine replacement,3,18,"Perform operational test every 250 hour service - stall speed, high and low idle tests. Inspect for optimal replacement interval. Check function at 1000 hour service."
Power Unit,Fuel System,Injectors,Corrosion,"Loss of power, misfiring",3,Exposure of terminals to contaminating elements,2,No current controls,3,18,Check function during 500 hour service
Power Unit,Fuel System,Fuel Pump,Mechanical  failure,"Engine wont start, loss of power",4,"General wear and tear, or damage due to Physical impact",2,Changed with scheduled engine replacement,3,24,Check function of pump during 500 service
Power Unit,Fuel System,Fuel Pump,Leaking,Loss of power,4,"General wear and tear, loose fittings",2,Visual inspection on scheduled services,3,24,Check function of pump during 500 service
Power Unit,Fuel System,Fuel Pump,Corrosion,Loss of power,3,Exposure of parts to contaminating elements,2,Investigated upon component failure,3,18,Check function of pump during 500 service
Power Unit,Engine,Block,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Block,Mechanical  failure or physical failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Piston,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Piston,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Rods,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Rods,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Crank,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Crank,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Cam,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Cam,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Valves,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Valves,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Cylinders,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Cylinders,Mechanical  failure,Loss of power / catastrophic engine failure,4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily",3,24,Inspect for optimal replacement interval of engine.
Power Unit,Engine,Belts,Wearing components,Loss of function of belt-driven components,3,General wear and tear on component,4,Inspected every 125 hour service,2,24,"Check belts and assembly belts for wearing, stretching and damage at 1000 hour service."
Power Unit,Engine,Belts,Mechanical failure,Loss of function of belt-driven components,4,"Incorrect installation, impact with debris or other material",4,Inspected every 125 hour service,2,32,
Power Unit,Engine,Fan,Mechanical Failure,Overheating of engine,4,Fan bearing collapse,2,Inspected every 125 hour service,2,16,
Power Unit,Engine,Fan,Physical damage,Overheating of engine,4,Debris damages fan blades,2,Inspected every 125 hour service,2,16,
Power Unit,Electrical System,ECU,Overloading,"Loss of function, fire, engine shutdown",4,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,24,
Power Unit,Electrical System,ECU,Corrosion,"Loss of function, fire, engine shutdown",4,Exposure of terminals and plugs to contaminating elements,2,"Visual inspection and testing of some components during scheduled maintenance, electrical connections are sealed where possible.",3,24,
Power Unit,Electrical System,ECU,Corrosion,"Loss of function, fire, engine shutdown",4,"impacts to ecu module, incorrect or loose mounting",2,Investigated upon component failure.,2,16,
Power Unit,Electrical System,Fuses,"Overloading,","Loss of function, fire, engine shutdown",3,Shorting of connections incorrect rating of fuse installed,3,Investigated upon component failure.,3,27,
Power Unit,Electrical System,Wiring Harness,Corrosion,"Loss of function, fire, engine shutdown, terminal connections ineffective and brittle wires",3,Exposure to contaminants over time,3,No current controls,3,27,Grease (add sealant) all connections and plugs every 125 hour service
Power Unit,Electrical System,Wiring Harness,Physical damage,"Loss of function, fire, engine shutdown",4,May be caused by broken mounting points or insufficient cable flex to allow adequate range of movement,2,Visual inspection and testing of wiring during scheduled maintenance.,2,16,
Power Unit,Electrical System,Wiring Harness,Overloading,"Loss of function, fire, engine shutdown, multiple component failure",3,Loading components beyond their rated capacity,2,Circuit breaker will trip upon overloading,2,12,
Power Unit,Electrical System,Sensors,Wearing,Sensor may give erroneous readings or fail completely,3,Physical impact to sensors or incorrect installation,3,Visual inspection during 125 hour services,2,18,
Power Unit,Electrical System,Sensors,Corrosion,Loss of Function,3,Exposure of terminals and plugs to contaminating elements,3,Visual inspection during 125 hour services,2,18,"Perform operational test every 250 hour service - stall speed, high and low idle tests. Grease (add sealant) all connections and plugs every 125 hour service."
Power Unit,Electrical System,Sensors,Overloading,Sensor will malfunction; unable to operate,3,Shorting of connections incorrect rating of fuse installed,2,Circuit breaker will trip upon overloading,3,18,
Power Unit,Electrical System,Actuators,Wearing,"Actuator may function intermittently, at reduced capacity or fail altogether",3,Physical impact to actuator or incorrect installation,2,Visual inspection during 125 hour services,2,12,
Power Unit,Electrical System,Actuators,Corrosion,Loss of Function,3,Exposure of terminals and plugs to contaminating elements,2,Visual inspection during 125 hour services,2,12,
Power Unit,Electrical System,Actuators,Overloading,actuator may be partially or completely destroyed,3,Shorting of connections incorrect rating of fuse installed,2,Circuit breaker will trip upon overloading,3,18,
Power Unit,Cooling System,Radiator,Leaks,"Loss of power and engine damage, loss of coolant",3,"leaving the cap off, broken pipes, broken components/fittings, incorrect coolant used, level not maintained",4,"Daily visual inspection, coolant SOS every 500 hour service",2,24,Inspect radiator hoses at 250 hour service. Inspect mounting and torques at 500 hour service.
Power Unit,Cooling System,Radiator,Blockages,Reduced Cooling capacity,3,"Debris and contaminates entering coolant, use of incorrect coolant may corrode the cooling system",1,Radiator checked for blockages every scheduled 125 hour service,3,9,Inspect for optimal replacement interval.
Power Unit,Cooling System,Radiator,Blockages,Reduced Cooling capacity,3,"Debris and contaminates entering coolant, use of incorrect coolant may corrode the cooling system",1,Radiator checked for blockages every scheduled 125 hour service,3,9,
Power Unit,Cooling System,Water Pump,Mechanical Failure,"Loss of Cooling Capacity, engine shutdown",4,"Collapsed bearing, impellor destroyed, pump run dry, General wear and tear to pump",3,Water pump inspected every 125 hour service,3,36,
Power Unit,Cooling System,Water Pump,Leaks,Loss of cooling fluid and system pressure,3,"damage to fittings, corrosion of case, improper installation, failed gasket",2,Water pump inspected every 125 hour service,2,12,
Power Unit,Cooling System,Water Pump,Wearing,Possible reduced or loss of cooling function,3,"Physical impact to casing, improper mounting of the water pump to the engine",2,Water pump inspected every 125 hour service,2,12,
Power Unit,Cooling System,Coolant hoses,Leaking,Loss of cooling fluid and system pressure,2,"Wearing of hoses,  Physical impact causing tears",3,No current controls,2,12,Inspect hoses every 125 hour service
Power Unit,Cooling System,Coolant tank,Leaking,Loss of cooling fluid and system pressure,2,Physical impact tank cracks,3,Coolant SOS,2,12,Inspect tank every 125 hour service. Change coolant filter at 500 hour service. Change coolant at 2000 hour service.
Power Unit,Cooling System,Fan drive assembly,Wearing,Heating of power unit.,2,Wearing over time.,3,Inspection on 125 hour service.,2,12,Inspect for optimal replacement interval.Check engine fan assembly at 500 hour service.
Power Unit,Air Intake System,Air filter,Reaches end of usable life,"Intake contaminated, loss of power",3,Extremely dusty operating conditions,5,Scheduled change out on 125 hour service,1,15,Check air filter indicators on daily inspections
Power Unit,Air Intake System,Air filter housing,Physical damage,Filters may become damaged or bypassed,3,Impact to assembly,4,Visual inspection daily for damages,2,24,
Power Unit,Air Intake System,Turbocharger,Mechanical Failure,"Loss of power,  smokey engine",3,"Contaminated air flow, lack of lubrication, lack of cooling, excessive vibrations",3,Scheduled component change out,3,27,
Power Unit,Air Intake System,Turbocharger,Leaking,"Loss of power, smokey engine",2,Missing clamp connections or damaged fittings,3,Inspect induction hoses and joints every 125 hour service,3,18,
Power Unit,Air Intake System,Mass air flow sensor,Corrosion,"Loss of power, smokey engine, engine shutdown",2,Exposure to contaminats that may cause corrosion of terminals and plug conections,3,Investigated upon component failure.,3,18,
Power Unit,Air Intake System,Mass air flow sensor,Overloading,"Loss of power smokey engine, engine shutdown",2,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,12,
Power Unit,Air Intake System,Mass air flow sensor,Physical damage,"Loss of power smokey engine, engine shutdown",2,Sensor may be damaged by impact or incorrect installation of component,2,Investigated upon component failure.,2,8,
Power Unit,Air Intake System,Charge Air Cooler,Physical damage,"Loss of power smokey engine, engine shutdown",2,Physical Impact,2,Visual inspection on 125 hour services,2,8,
Power Unit,Air Intake System,Inlet Manifold,Physical damage,"Loss of power smokey engine, engine shutdown",3,Physical impact,2,Visual inspection on 125 hour services,2,12,
Power Unit,Air Intake System,Inlet Manifold,Leaking,"Loss of power smokey engine, engine shutdown",2,"incorrect installation, broken gasket or fitting, loose mounting point",3,Visual inspection on 125 hour services,3,18,
Power Unit,Lubrication System,Sump,Leak,"Overheating engine, excessive wearing, fire, catastrophic engine failure, enviromental damage",2,Loose or damaged fittings,2,Daily visual inspection,2,8,
Power Unit,Lubrication System,Sump,Dents or cracks,"Loss of oil leading to overheating, excess component wear, fire, catastrophic engine failure, enviromental damage",3,Physical impact to sump,2,Daily visual inspection,1,6,
Power Unit,Lubrication System,Lubrication Pump,Leaks,"Loss of oil leading to overheating, excess component wear, fire, catastrophic engine failure, enviromental damage",3,"Incorrect fittings, loose fittings, General wear and tear",2,Daily visual inspection,2,12,
Power Unit,Lubrication System,Lubrication Pump,Mechanical Failure,"Engine shutdown on low pressure, may cause significant engine damage",3,"Pump mechanical failure from general wear or impact, bearing failure",2,Investigated upon component failure.,3,18,
Power Unit,Lubrication System,Lubrication Pump,Dents or cracks,May reduce oil pressure or cause oil leak leading to fire hazard,2,Physical impact,2,Investigated upon component failure.,2,8,
Power Unit,Lubrication System,Oil Cooler,Leaks,"Fire hazard, may reduce oil pressure and cause shutdown, oil may be present in coolant or coolant in oil",3,may be caused by loose or damage fitings or radiator core,3,visual inspection for leaks daily,2,18,
Power Unit,Lubrication System,Oil Cooler,Blocked,"possible damage to system due to back pressure, damage due to lack of flow of oil to engine",2,"may be cause by contaminated oil, or internal corrosion of core and lubrication system",3,Investigated upon component failure.,3,18,
Power Unit,Lubrication System,Oil Filter,Leaks,"Loss of oil, possible fire hazard",3,"may be caused by a damaged filter, or filter head, missing or damaged seal, incorrect installation",2,visual inspection for leaks daily,2,12,
Power Unit,Lubrication System,Oil Filter,Wearing,"Loss of oil, possible fire hazard",2,physicall impact to filter or incorrect instalation,3,visual inspection for daily,1,6,
Power Unit,Lubrication System,Oil Filter,Blocked,"contamination of oil, possible damage to system if bypass valve is non functioning",3,"incorrect instalation, contamination of oil",2,change oil and filter on all pm services,3,18,
Power Unit,Lubrication System,Lubrication lines,Blocked,"Excessive componont wear, engine failure; possible fire hazard",3,"Contaminated oil, debris from engine component failure",2,Inspected daily and on 125 hour services,4,24,
Power Unit,Lubrication System,Lubrication lines,Leaks,"Loss of oil, and lubrication, possible fire hazard",2,"Loose fittings, possible incorrect installation,",2,Inspected daily and on 125 hour services,3,12,
Power Unit,Lubrication System,Lubrication lines,Physical damage,"Excessive componont wear, engine failure; possible fire hazard",3,Physical impact to lines,2,Inspected daily and on 125 hour services,2,12,
Power Unit,Lubrication System,Dipstick,Broken,Unable to check engine oil level,1,Item impacted,3,Used daily,1,3,
Power Unit,Exhaust System,Exhaust Stack,Physical damage,Reduced emissions performance,2,"Excessive vibration, broken waste gate",3,Scheduled component change out,1,6,Clean exhaust purifier at 1000 hour service.
Power Unit,Exhaust System,Exhaust Manifold,Physical damage,Loss of power hot gas in engine bay reduced emissions quality,2,Item impacted,3,Inspected daily and on 125 hour services,2,12,
Power Unit,Exhaust System,Exhaust Manifold,Leaking,Loss of power hot gas in engine bay reduced emissions quality,2,"Corrosion of manifold, incorrect installation, damaged gasket",3,Inspected daily and on 125 hour services,3,18,
Power Unit,Exhaust System,Catalytic converter,Physical damage,Reduction in emissions quality,1,Physical impact,3,Inspected daily and on 125 hour services,2,6,
Power Unit,Exhaust System,Catalytic converter,Contamination,Reduction in emissions quality,1,"Poor quality fuel or additives, harsh operating enviroment",2,Inspected daily and on 125 hour services,4,8,
Power Train,Upbox,Housing,Wearing,Damage to upbox components,4,"Physical Impact, incorrect installation",2,Visual inspection,2,16,Inspect for optimal replacement interval of component.
Power Train,Upbox,Gears,Wearing,Damage to gear teeth or bearings,3,"Physical Impact, incorrect installation",3,Oil sample wear test,4,36,"Training for correct installation, investigate methods to better utilise oil samples"
Power Train,Upbox,Coupling,Wearing,Possible excess vibrations or complete failure of joint,3,"Physical Impact, incorrect installation",3,Visual inspection,3,27,Inspect for optimal replacement interval of component.
Power Train,Upbox,Lubrication,Incorrect Lubrication,Increased wear of heating of components,2,Servicing error,2,Oil  Sample Wear Test regular oil change and oil storage management,4,16,
Power Train,Upbox,Lubrication,Degradation of Lubrication,Increased wear of heating of components,1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil  Sample Wear Test,4,8,
Power Train,Upbox,Sensors,Wearing,Loss of function of sensor,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,27,
Power Train,Upbox,Sensors,Corrosion,Loss of function of sensor,3,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,27,Include visual inspection for corrosion during PM service: 500 hrs
Power Train,Dropbox,Housing,Wearing,Damage to upbox components,4,"Physical Impact, incorrect installation",2,Investigated upon component failure,2,16,Inspect for optimal replacement interval of component.
Power Train,Dropbox,Gears,Wearing,Damage to gear teeth or bearings,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,4,36,Include visual inspection of dropbox components during PM services - 500 hrs
Power Train,Dropbox,Coupling,Wearing,Possible excess vibrations or complete failure of joint,3,"Physical Impact, incorrect installation",3,Inspected at 125hr service,3,27,Inspect for optimal replacement interval of component.
Power Train,Dropbox,Lubrication,Incorrect Lubrication,Increased wear of heating of components,2,Servicing error,2,Oil sample wear test,4,16,
Power Train,Dropbox,Lubrication,Degradation of Lubrication,Increased wear of heating of components,1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil  Sample Wear Test regular oil change and oil storage management,4,8,
Power Train,Dropbox,Sensors,Wearing,loss of function of sensor,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,27,
Power Train,Dropbox,Sensors,Corrosion,loss of function of sensor,3,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,27,
Power Train,Dropbox,Cooler,"Wearing, dirt build up",Components heat up,2,Wearing of component over time; dirt build up on cooler and fins,3,Investigated upon component failure,2,12,Check dropbox cooler and fins and remove dirt build-up on 500 hour service
Power Train,Transmission,Electronic control unit (ECU),Wearing,damage to unit causing partial or complete failure,4,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,36,Inspect for optimal replacement interval of component.
Power Train,Transmission,Electronic control unit (ECU),Corrosion,Partial or complete loss of function due to component  or connection failure,4,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,36,Investigate method to include auto-electrical servicing in PM services. Grease (add sealant) all connections and plugs every 500 hour service.
Power Train,Transmission,Electronic control unit (ECU),Overloading,possible permanent damage to ecu resulting in blown fuses or component damage,4,Shorting of sensor power surge,2,Investigated upon component failure,4,32,
Power Train,Transmission,Control valve,Wearing,Damage to valve preventing normal function,4,"Physical Impact, incorrect installation",2,Investigated upon component failure,3,24,
Power Train,Transmission,Torque converter,Wearing,physical damage to the torque converter reducing or,3,"Physical Impact, incorrect installation",2,Investigated upon component failure,3,18,
Power Train,Transmission,Torque converter,Incorrect Lubrication,"increased wear on components, increased heating of components",2,Servicing error,2,Oil sample wear test,4,16,
Power Train,Transmission,Torque converter,Degradation of Lubrication,"increased wear on components, increased heating of components",1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil sample wear test regular oil change and oil storage management,4,8,
Power Train,Transmission,Lock-up clutch,Wearing,Lock up clutch cannot be engaged at synch speed,3,"Physical Impact, incorrect installation",2,Investigated upon component failure,4,24,"Training for correct installation, include visual inspection of clutch during PM service: 500 hrs"
Power Train,Transmission,Planetary gear sets,Wearing,"physical damage to gears causing stripping of teeth, collapse of bearings or deformation",3,"Physical Impact, incorrect installation",3,Oil sample wear test,4,36,"Training for correct installation, investigate methods to better utilise oil samples"
Power Train,Transmission,Transmission hydraulics,Wearing,Loss of Hydraulic oil or blockage,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,2,18,
Power Train,Transmission,Transmission hydraulics,Leaking,loss of hydraulic oil,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",3,Visual inspections on daily,3,27,
Power Train,Transmission,Retarder Actuator,Wearing,actuator will not function correctly,4,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,16,
Power Train,Transmission,Retarder Actuator,Leaking,reduced or lost function,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",2,Visual inspection at 125hr service,2,12,
Power Train,Transmission,Retarder Slave Cylinder,Wearing,reduced or lost function,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
Power Train,Transmission,Retarder Valve,Leaking,reduced or lost function,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",2,Investigated upon component failure,2,12,
Power Train,Transmission,Transmission to Front Axle Driveline,Wearing,Complete failure or increased stress and vibrations,3,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,18,
Power Train,Transmission,Transmission Mount,Wearing,Complete failure or increased stress and vibrations,2,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,12,Check bolt connection torques on 500 hour service
Power Train,Transmission,Transmission Input Seal,Wearing,Complete failure or increased stress and vibrations possible contamination and damage to internal parts,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
Power Train,Transmission,Transmission filter housing,Wearing,Loss of hydraulic oil,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
Power Train,Axles,Front and rear axles,Physical damage,Wearing of components,3,"Physical Impact, incorrect installation",3,Oil sample wear test,2,18,Axle breather - Check for damage.
Power Train,Axles,Front and rear axles,Loose bolts,Axle vibrates loose,3,Excessive vibration of components causing vehicle breakdown,2,No current controls,3,18,Check bolt connection torques on 500 hour service
Power Train,Axles,Differential,Wearing,"Increased wear or heating of components, degradation of lubrication",2,Servicing error,2,Oil sample wear test,5,20,Inspect for optimal replacement interval of component.
Power Train,Axles,Differential,Wearing,"Increased wear or heating of components, degradation of lubrication",2,"Blocking of breather cap,  poor storage or mixing of oils, servicing error",2,Oil sample wear test,5,20,Check for damage or blockages in axle breather on 125 hour service
Power Train,Axles,Planetary,Wearing,"Increased wear or heating of components, degradation of lubrication",2,"Blocking of breather cap,  poor storage or mixing of oils, servicing error",2,Oil sample wear test,3,12,"Check oil level, inspect/clean breathers on 125 hour service. Change oil on 500 hour service."
Power Train,Axles,Tie plate,Cracking,Increased vibration of axle components,3,"Physical impact, wearing over time",2,No current controls,3,18,Check tie plate torques on 500 hour service
